Name,Input Length (Bytes),Compress Time (MS),Decompress Time (MS),Compression Ratio (%)
BrotliSharpLib - Repeating str small (4096 chars),4096,1.06,0.03,0.37
BrotliSharpLib - Repeating str large (4096 chars),4096,0.82,0.03,0.90
BrotliSharpLib - Random str (10000 chars),10000,8.02,0.09,75.45
BrotliSharpLib - Repeating str small (10000 chars),10000,1.46,0.04,0.15
BrotliSharpLib - Repeating str large (10000 chars),10000,1.47,0.05,0.37
BrotliSharpLib - Random str (50000 chars),50000,56.17,0.34,75.10
BrotliSharpLib - Repeating str small (50000 chars),50000,6.14,0.12,0.03
BrotliSharpLib - Repeating str large (50000 chars),50000,3.01,0.11,0.07
BrotliSharpLib - Random str (100000 chars),100000,95.65,1.08,75.12
BrotliSharpLib - Repeating str small (100000 chars),100000,9.79,0.19,0.02
BrotliSharpLib - Repeating str large (100000 chars),100000,5.49,0.18,0.04
BrotliSharpLib - YGO binder url eg1,154,1.45,0.02,92.21
BrotliSharpLib - YGO binder url eg2,159,1.32,0.03,84.28
BrotliSharpLib - YGO binder data raw eg1,341,3.02,0.03,77.13
BrotliSharpLib - YGO binder data raw eg2,66,1.73,0.02,106.06
System.IO Brotli - Large JSON,15580785,21950.98,20.65,7.43
System.IO Brotli - Random str (8 chars),8,0.61,0.01,150.00
System.IO Brotli - Repeating str small (8 chars),8,0.47,0.01,150.00
System.IO Brotli - Repeating str large (8 chars),8,0.60,0.02,137.50
System.IO Brotli - Random str (20 chars),20,0.54,0.01,120.00
System.IO Brotli - Repeating str small (20 chars),20,0.47,0.01,65.00
System.IO Brotli - Repeating str large (20 chars),20,0.52,0.01,120.00
System.IO Brotli - Random str (100 chars),100,0.62,0.01,93.00
System.IO Brotli - Repeating str small (100 chars),100,0.53,0.01,13.00
System.IO Brotli - Repeating str large (100 chars),100,0.57,0.01,31.00
System.IO Brotli - Random str (256 chars),256,0.69,0.01,81.64
System.IO Brotli - Repeating str small (256 chars),256,0.85,0.01,5.47
System.IO Brotli - Repeating str large (256 chars),256,0.64,0.01,13.67
System.IO Brotli - Random str (512 chars),512,0.78,0.02,78.71
System.IO Brotli - Repeating str small (512 chars),512,0.64,0.01,2.73
System.IO Brotli - Repeating str large (512 chars),512,0.52,0.01,6.84
System.IO Brotli - Random str (1024 chars),1024,0.79,0.01,76.27
